trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed,block_name
538572020,206,1,"South to Temecula Express",,0,84700802,shp-206-61,0,0,20603
538573020,206,1,"South to Temecula Express",,0,84701902,shp-206-59,0,0,20404
538576020,206,1,"South to Temecula Express",,0,84699702,shp-206-59,0,0,20606
538577020,206,1,"South to Temecula Express",,0,84702102,shp-206-59,0,0,20607
538566020,206,1,"North to Corona Express",,1,84699902,shp-206-07,0,0,20605
538569020,206,1,"North to Corona Express",,1,84701602,shp-206-08,0,0,20604
538571020,206,1,"North to Corona Express",,1,84700802,shp-206-08,0,0,20603
538574020,206,1,"North to Corona Express",,1,84699702,shp-206-07,0,0,20606
538575020,206,1,"North to Corona Express",,1,84700202,shp-206-09,0,0,20602
538578020,206,1,"North to Corona Express",,1,84699802,shp-206-09,0,0,20601
538579020,206,1,"North to Corona Express",,1,84702102,shp-206-07,0,0,20607
538548020,208,1,"South to Temecula Express",,0,84701102,shp-208-56,0,0,20806
538559020,208,1,"South to Temecula Express",,0,84700602,shp-208-57,0,0,20804
538560020,208,1,"South to Temecula Express",,0,84699602,shp-208-57,0,0,20802
538561020,208,1,"South to Temecula Express",,0,84702302,shp-208-56,0,0,20807
538562020,208,1,"South to Temecula Express",,0,84700902,shp-208-56,0,0,20808
538563020,208,1,"South to Temecula Express",,0,84700702,shp-208-56,0,0,20809
538564020,208,1,"South to Temecula Express",,0,84699302,shp-208-56,0,0,20810
538565020,208,1,"South to Temecula Express",,0,84701902,shp-208-56,0,0,20404
538546020,208,1,"North to Riverside Express",,1,84699202,shp-208-07,0,0,20801
538547020,208,1,"North to Riverside Express",,1,84701202,shp-208-07,0,0,20805
538552020,208,1,"North to Riverside Express",,1,84701102,shp-208-06,0,0,20806
538555020,208,1,"North to Riverside Express",,1,84700402,shp-208-07,0,0,20803
538556020,208,1,"North to Riverside Express",,1,84699202,shp-208-08,0,0,20801
538557020,208,1,"North to Riverside Express",,1,84699602,shp-208-08,0,0,20802
538558020,208,1,"North to Riverside Express",,1,84702302,shp-208-06,0,0,20807
534435020,21,1,"South to Galleria at Tyler",,0,84695802,shp-21-59,0,0,02102
534437020,21,1,"South to Galleria at Tyler",,0,84697602,shp-21-59,0,0,02103
534439020,21,1,"South to Galleria at Tyler",,0,84697602,shp-21-59,0,0,02103
534441020,21,1,"South to Galleria at Tyler",,0,84697602,shp-21-59,0,0,02103
534443020,21,1,"South to Galleria at Tyler",,0,84695502,shp-21-59,0,0,02101
534445020,21,1,"South to Galleria at Tyler",,0,84695502,shp-21-59,0,0,02101
534447020,21,1,"South to Galleria at Tyler",,0,84709602,shp-21-59,0,0,02104
534449020,21,1,"South to Galleria at Tyler",,0,84709602,shp-21-59,0,0,02104
534451020,21,1,"South to Galleria at Tyler",,0,84709602,shp-21-59,0,0,02104
534434020,21,1,"North to Country Village & Fontana",,1,84695802,shp-21-02,0,0,02102
534436020,21,1,"North to Country Village & Fontana",,1,84697602,shp-21-02,0,0,02103
534438020,21,1,"North to Country Village & Fontana",,1,84697602,shp-21-02,0,0,02103
534440020,21,1,"North to Country Village & Fontana",,1,84697602,shp-21-02,0,0,02103
534442020,21,1,"North to Country Village & Fontana",,1,84697602,shp-21-02,0,0,02103
534444020,21,1,"North to Country Village & Fontana",,1,84695502,shp-21-02,0,0,02101
534446020,21,1,"North to Country Village & Fontana",,1,84695502,shp-21-02,0,0,02101
534448020,21,1,"North to Country Village & Fontana",,1,84709602,shp-21-02,0,0,02104
534450020,21,1,"North to Country Village & Fontana",,1,84709602,shp-21-02,0,0,02104
534452020,21,1,"North to Country Village & Fontana",,1,84709602,shp-21-02,0,0,02104
534799020,22,1,"South to Perris Station Transit Center",,0,84692202,shp-22-58,0,0,02201
534800020,22,1,"South to Perris Station Transit Center",,0,84694002,shp-22-58,0,0,02202
534801020,22,1,"South to Perris Station Transit Center",,0,84695302,shp-22-58,0,0,02203
534802020,22,1,"South to Perris Station Transit Center",,0,84692202,shp-22-58,0,0,02201
534803020,22,1,"South to Perris Station Transit Center",,0,84697002,shp-22-58,0,0,02204
534804020,22,1,"South to Perris Station Transit Center",,0,84698102,shp-22-58,0,0,02206
534805020,22,1,"South to Perris Station Transit Center",,0,84709202,shp-22-58,0,0,02207
534806020,22,1,"South to Perris Station Transit Center",,0,84710302,shp-22-58,0,0,02208
534807020,22,1,"South to Perris Station Transit Center",,0,84696002,shp-22-58,0,0,02211
534808020,22,1,"South to Perris Station Transit Center",,0,84698102,shp-22-58,0,0,02206
534809020,22,1,"South to Perris Station Transit Center",,0,84695402,shp-22-58,0,0,02212
534810020,22,1,"South to Perris Station Transit Center",,0,84698102,shp-22-58,0,0,02206
534811020,22,1,"South to Perris Station Transit Center",,0,84705102,shp-22-58,0,0,00123
534812020,22,1,"South to Perris Station Transit Center",,0,84708402,shp-22-58,0,0,02209
534813020,22,1,"South to Perris Station Transit Center",,0,84709102,shp-22-58,0,0,02210
534784020,22,1,"North to Riverside",,1,84705102,shp-22-05,0,0,00123
534785020,22,1,"North to Riverside",,1,84692202,shp-22-05,0,0,02201
534786020,22,1,"North to Riverside",,1,84694002,shp-22-05,0,0,02202
534787020,22,1,"North to Riverside",,1,84695302,shp-22-05,0,0,02203
534788020,22,1,"North to Riverside",,1,84692202,shp-22-05,0,0,02201
534789020,22,1,"North to Riverside",,1,84697002,shp-22-05,0,0,02204
534790020,22,1,"North to Riverside",,1,84698802,shp-22-05,0,0,02205
534791020,22,1,"North to Riverside",,1,84698102,shp-22-05,0,0,02206
534792020,22,1,"North to Riverside",,1,84709202,shp-22-05,0,0,02207
534793020,22,1,"North to Riverside",,1,84710302,shp-22-05,0,0,02208
534794020,22,1,"North to Riverside",,1,84698102,shp-22-05,0,0,02206
534795020,22,1,"North to Riverside",,1,84709102,shp-22-05,0,0,02210
534796020,22,1,"North to Riverside",,1,84696002,shp-22-05,0,0,02211
534797020,22,1,"North to Riverside",,1,84708402,shp-22-05,0,0,02209
534798020,22,1,"North to Riverside",,1,84709102,shp-22-05,0,0,02210
535758020,23,1,"South to Temecula Promenade Mall",,0,84450402,shp-23-61,0,0,02314
535759020,23,1,"South to Temecula Promenade Mall",,0,84448302,shp-23-61,0,0,07411
535760020,23,1,"South to Temecula Promenade Mall",,0,84449902,shp-23-61,0,0,02311
535761020,23,1,"South to Temecula Promenade Mall",,0,84450102,shp-23-61,0,0,02312
535763020,23,1,"South to Temecula Promenade Mall",,0,84450202,shp-23-61,0,0,02313
535764020,23,1,"South to Temecula Promenade Mall",,0,84449902,shp-23-61,0,0,02311
535768020,23,1,"South to Temecula Promenade Mall",,0,84454302,shp-23-61,0,0,02411
535769020,23,1,"South to Temecula Promenade Mall",,0,84450402,shp-23-61,0,0,02314
535771020,23,1,"South to Temecula Promenade Mall",,0,84450202,shp-23-61,0,0,02313
535773020,23,1,"South to Temecula Promenade Mall",,0,84450102,shp-23-61,0,0,02312
535755020,23,1,"North to Wildomar",,1,84450102,shp-23-11,0,0,02312
535756020,23,1,"North to Wildomar",,1,84450402,shp-23-11,0,0,02314
535757020,23,1,"North to Wildomar",,1,84450202,shp-23-11,0,0,02313
535762020,23,1,"North to Wildomar",,1,84449902,shp-23-11,0,0,02311
535765020,23,1,"North to Wildomar",,1,84454302,shp-23-11,0,0,02411
535766020,23,1,"North to Wildomar",,1,84450102,shp-23-11,0,0,02312
535767020,23,1,"North to Wildomar",,1,84450402,shp-23-11,0,0,02314
535770020,23,1,"North to Wildomar",,1,84450202,shp-23-11,0,0,02313
535772020,23,1,"North to Wildomar",,1,84449902,shp-23-11,0,0,02311
535774020,23,1,"North to Inland Valley Medical Center",,1,84454302,shp-23-10,0,0,02411
535799020,24,1,"South to Temecula Valley Hospital",,0,84450202,shp-24-53,0,0,02313
535800020,24,1,"South to Temecula Valley Hospital",,0,84449902,shp-24-53,0,0,02311
535801020,24,1,"South to Temecula Valley Hospital",,0,84454302,shp-24-53,0,0,02411
535802020,24,1,"South to Temecula Valley Hospital",,0,84450402,shp-24-53,0,0,02314
535803020,24,1,"South to Temecula Valley Hospital",,0,84450102,shp-24-53,0,0,02312
535804020,24,1,"South to Temecula Valley Hospital",,0,84450202,shp-24-53,0,0,02313
535805020,24,1,"South to Temecula Valley Hospital",,0,84449902,shp-24-53,0,0,02311
535806020,24,1,"South to Temecula Valley Hospital",,0,84454302,shp-24-53,0,0,02411
535807020,24,1,"South to Temecula Valley Hospital",,0,84450402,shp-24-53,0,0,02314
535808020,24,1,"South to Temecula Valley Hospital",,0,84450102,shp-24-53,0,0,02312
535789020,24,1,"North to Temecula Promenade Mall",,1,84450402,shp-24-06,0,0,02314
535790020,24,1,"North to Temecula Promenade Mall",,1,84450102,shp-24-06,0,0,02312
