From_GEO_ID,,To_geoid,To_hos_address,To_hos_coordinates,Total_Miles
1500000US060250120022,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,19.48809451
1500000US060250121001,,6025011700,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,8.23515545
1500000US060250121001,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,19.67756934
1500000US060250121003,,6025011700,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,8.84267637
1500000US060250121003,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,20.31516992
1500000US060250113001,,6025011700,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,5.64268319
1500000US060250113001,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,12.9345882
1500000US060250112021,,6025011700,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,1.07662588
1500000US060250112021,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,11.30703924
1500000US060250112022,,6025011700,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,1.80895215
1500000US060250112022,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,10.55633017
