NearRank,RouteName,StartTime,EndTime,StartTimeUTC,EndTimeUTC,Total_Miles,Total_Minutes,To_ID,From_ID,RouteLayerItemID,RouteLayerItemURL,From_GEO_ID,From_STATE,From_COUNTY,From_TRACT,From_BLKGRP,From_Name,From_LSAD,From_CENSUSAREA,From_Shape__Area,From_Shape__Length,From_ORIG_FID,To_geoid,To_hos_address,To_hos_coordinates
1,2 - Location 2,2020-07-29 03:31:53,2020-07-29 03:58:01.000001,2020-07-29 10:31:53,2020-07-29 10:58:01,27.47999252,26.13504011,2,30,,,1500000US060250123012,6,25,12301,2,2,BG,7.9829998,,,30,6025011700.0,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487
2,2 - Location 1,2020-07-29 03:31:53,2020-07-29 04:11:57,2020-07-29 10:31:53,2020-07-29 11:11:57,39.48151106,40.05994585,1,30,,,1500000US060250123012,6,25,12301,2,2,BG,7.9829998,,,30,6025010600.0,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953
1,2 - Location 1,2020-07-29 03:31:53,2020-07-29 04:20:52,2020-07-29 10:31:53,2020-07-29 11:20:52,43.34022625,48.97830533,1,31,,,1500000US060250123022,6,25,12302,2,2,BG,10.11800003,,,31,6025010600.0,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953
2,2 - Location 2,2020-07-29 03:31:53,2020-07-29 04:36:18,2020-07-29 10:31:53,2020-07-29 11:36:18,56.12355734,64.41452138,2,31,,,1500000US060250123022,6,25,12302,2,2,BG,10.11800003,,,31,6025011700.0,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487
1,3 - Location 1,2020-07-29 03:31:53,2020-07-29 04:06:54,2020-07-29 10:31:53,2020-07-29 11:06:54,31.71019088,35.01788191,1,32,,,1500000US060250123023,6,25,12302,3,3,BG,52.66999817,,,32,6025010600.0,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953
2,3 - Location 2,2020-07-29 03:31:53,2020-07-29 04:21:54,2020-07-29 10:31:53,2020-07-29 11:21:54,44.12808485,50.02460353,2,32,,,1500000US060250123023,6,25,12302,3,3,BG,52.66999817,,,32,6025011700.0,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487
1,1 - Location 1,2020-07-29 03:31:53,2020-07-29 04:13:23,2020-07-29 10:31:53,2020-07-29 11:13:23,38.95877765,41.49927537,1,33,,,1500000US060250124001,6,25,12400,1,1,BG,44.46099854,,,33,6025010600.0,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953
2,1 - Location 2,2020-07-29 03:31:53,2020-07-29 04:28:03.000001,2020-07-29 10:31:53,2020-07-29 11:28:03,56.83417172,56.1711356,2,33,,,1500000US060250124001,6,25,12400,1,1,BG,44.46099854,,,33,6025011700.0,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487
1,1 - Location 2,2020-07-29 03:31:53,2020-07-29 04:36:26,2020-07-29 10:31:53,2020-07-29 11:36:26,65.60360757,64.55076155,2,34,,,1500000US060259400001,6,25,940000,1,1,BG,26.9470005,,,34,6025011700.0,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487
2,1 - Location 1,2020-07-29 03:31:53,2020-07-29 04:50:11,2020-07-29 10:31:53,2020-07-29 11:50:11,78.32103412,78.2950869,1,34,,,1500000US060259400001,6,25,940000,1,1,BG,26.9470005,,,34,6025010600.0,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953
1,2 - Location 2,2020-07-29 03:31:53,2020-07-29 04:28:41,2020-07-29 10:31:53,2020-07-29 11:28:41,59.38461531,56.80278287,2,35,,,1500000US060259400002,6,25,940000,2,2,BG,12.3579998,,,35,6025011700.0,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487
2,2 - Location 1,2020-07-29 03:31:53,2020-07-29 04:42:26.000001,2020-07-29 10:31:53,2020-07-29 11:42:26,72.10204186,70.54529407,1,35,,,1500000US060259400002,6,25,940000,2,2,BG,12.3579998,,,35,6025010600.0,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953
1,3 - Location 2,2020-07-29 03:31:53,2020-07-29 04:24:54,2020-07-29 10:31:53,2020-07-29 11:24:54,55.60724225,53.01802319,2,36,,,1500000US060259400003,6,25,940000,3,3,BG,4.71400023,,,36,6025011700.0,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487
2,3 - Location 1,2020-07-29 03:31:53,2020-07-29 04:38:39,2020-07-29 10:31:53,2020-07-29 11:38:39,68.3246688,66.76053438,1,36,,,1500000US060259400003,6,25,940000,3,3,BG,4.71400023,,,36,6025010600.0,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953
1,1 - Location 1,2020-07-29 03:31:53,2020-07-29 03:57:21,2020-07-29 10:31:53,2020-07-29 10:57:21,20.19259948,25.46744103,1,37,,,1500000US060250101011,6,25,10101,1,1,BG,146.39900208,,,37,6025010600.0,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953
2,1 - Location 2,2020-07-29 03:31:53,2020-07-29 04:10:43,2020-07-29 10:31:53,2020-07-29 11:10:43.000001,37.87763646,38.82661096,2,37,,,1500000US060250101011,6,25,10101,1,1,BG,146.39900208,,,37,6025011700.0,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487
1,1 - Location 1,2020-07-29 03:31:53,2020-07-29 04:02:01,2020-07-29 10:31:53,2020-07-29 11:02:01,21.46237246,30.1277934,1,38,,,1500000US060250101021,6,25,10102,1,1,BG,88.68699646,,,38,6025010600.0,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953
